Страна;Кто предложил;Событие;Вариант ответа;Тип СМИ;Реакция СМИ
china;Министр Иностранных Дел;Нам нужны новые рынки сбыта. Предлагаю глобальный инфраструктурный проект.;Запустить 'Один пояс — один путь';Провластное;Триумф глобальной дипломатии! Прощение долгов африканским партнерам в рамках 'Одного пояса' демонстрирует величие и щедрость нашей нации. Мы укрепляем альянсы развивающихся стран, выстраивая справедливый многополярный мир.
china;Министр Иностранных Дел;Нам нужны новые рынки сбыта. Предлагаю глобальный инфраструктурный проект.;Запустить 'Один пояс — один путь';Либеральное;Раздача народных денег за рубежом ради геополитического тщеславия. Пока миллионы граждан в регионах живут за чертой бедности, власть списывает гигантские кредиты иностранным диктаторам, покупая иллюзорное международное влияние.
china;Министр Иностранных Дел;Нам нужны новые рынки сбыта. Предлагаю глобальный инфраструктурный проект.;Сосредоточиться на внутреннем потреблении;Провластное;Национальные богатства надежно защищены. Мы не благотворительная организация, а прагматичная сверхдержава. Захват портов и рудников за долги обеспечивает нашу промышленность ресурсами на десятилетия вперед.
china;Министр Иностранных Дел;Нам нужны новые рынки сбыта. Предлагаю глобальный инфраструктурный проект.;Сосредоточиться на внутреннем потреблении;Либеральное;Агрессивный неоколониализм разрушает нашу репутацию. Конфискация портов у стран-должников вызывает международный скандал и ненависть местных жителей. Мы превращаемся в глобального ростовщика, которого боятся и презирают во всем мире.
china;Дипломат в Африке;Африканская страна не может выплатить долг за построенный нами порт.;Забрать порт в аренду на 99 лет;Провластное;Армия защитит наши стратегические инвестиции! Ввод частных военных компаний на иностранные рудники гарантирует бесперебойные поставки ресурсов для нашей промышленности. Мы не позволим мятежникам диктовать нам условия.
china;Дипломат в Африке;Африканская страна не может выплатить долг за построенный нами порт.;Забрать порт в аренду на 99 лет;Либеральное;Мы втягиваемся в бесконечные африканские войны. Защита коммерческих интересов силами наемников — это путь к глобальной изоляции и санкциям. Наша дипломатия окончательно уступила место праву сильного.
china;Дипломат в Африке;Африканская страна не может выплатить долг за построенный нами порт.;Простить долг ради дружбы;Провластное;Списывание убытков — тяжелое, но прагматичное решение. Эвакуация персонала с опасных рудников показывает, что жизни наших граждан для государства важнее любых материальных ресурсов. Безопасность превыше всего.
china;Дипломат в Африке;Африканская страна не может выплатить долг за построенный нами порт.;Простить долг ради дружбы;Либеральное;Позорное бегство и признание поражения. Мы потеряли миллиарды долларов и стратегические активы из-за недальновидной внешней политики. Образ глобальной сверхдержавы рассыпался при первом же серьезном кризисе безопасности.
china;Министр Образования;Дети слишком много играют в видеоигры. Это духовный опиум!;Ограничить игры до 3 часов в неделю;Провластное;Партия защищает будущее нации! Введение жесткого ограничения на онлайн-игры до 3 часов в неделю спасет миллионы школьников от цифровой зависимости. Молодежь должна заниматься спортом, наукой и служением родине, а не тратить жизнь в виртуальности.
china;Министр Образования;Дети слишком много играют в видеоигры. Это духовный опиум!;Ограничить игры до 3 часов в неделю;Либеральное;Тотальный контроль добрался до детских спален. Драконовский запрет на видеоигры не только ломает одну из самых прибыльных IT-отраслей в мире, но и демонстрирует параноидальное стремление власти контролировать каждую минуту свободного времени граждан.
china;Министр Образования;Дети слишком много играют в видеоигры. Это духовный опиум!;Создать патриотичные игры от государства;Провластное;Мудрый компромисс и доверие к семьям. Отказ от прямого запрета игр показывает, что государство выбирает путь мягкого регулирования. Воспитание молодежи — это задача родителей, а наша индустрия развлечений продолжит свою глобальную экспансию.
china;Министр Образования;Дети слишком много играют в видеоигры. Это духовный опиум!;Создать патриотичные игры от государства;Либеральное;Капитуляция перед лоббистами IT-гигантов. Правительство испугалось падения акций корпораций и отказалось защищать детей от игровой эпидемии. Прибыль миллиардеров оказалась важнее психологического здоровья целого поколения.
china;Комитет Безопасности;Глава крупнейшей IT-компании слишком много болтает и критикует регуляторов.;Отправить его на перевоспитание (он исчезнет на 3 месяца);Провластное;Никто не стоит выше закона и Партии. Жесткие меры против потерявших берега миллиардеров доказывают, что эпоха бесконтрольного капитализма закончена. Технологические гиганты будут служить народу, а не обогащению кучки монополистов.
china;Комитет Безопасности;Глава крупнейшей IT-компании слишком много болтает и критикует регуляторов.;Отправить его на перевоспитание (он исчезнет на 3 месяца);Либеральное;Публичная порка и расправа над инноваторами. Аресты и преследования самых успешных предпринимателей страны посылают четкий сигнал инвесторам: любой бизнес может быть уничтожен в одночасье. Это начало конца нашего технологического чуда.
china;Комитет Безопасности;Глава крупнейшей IT-компании слишком много болтает и критикует регуляторов.;Штрафануть на 3 миллиарда долларов;Провластное;Мудрость руководства сохраняет баланс. Вынесение строгого предупреждения, вместо разрушительных арестов, позволило вернуть корпорации в русло национальных интересов без шоков для фондового рынка. Конструктивный диалог власти и бизнеса работает.
china;Комитет Безопасности;Глава крупнейшей IT-компании слишком много болтает и критикует регуляторов.;Штрафануть на 3 миллиарда долларов;Либеральное;Неприкасаемая каста олигархов снова вышла сухой из воды. Олигархи отделались легким испугом, доказав, что их капиталы гарантируют им иммунитет. Система демонстрирует свою слабость перед лицом реальных финансовых империй.
china;Глава Цензуры;Люди научились обходить Великий Файрвол с помощью новых VPN.;Инвестировать в нейросети-цензоры;Провластное;Цифровая крепость Поднебесной стала неприступной. Внедрение тотальной биометрии и ИИ в Великий Файрвол обеспечит абсолютную безопасность граждан от западной пропаганды и киберугроз. Мы строим суверенную, чистую интернет-среду.
china;Глава Цензуры;Люди научились обходить Великий Файрвол с помощью новых VPN.;Инвестировать в нейросети-цензоры;Либеральное;Конец остаткам приватности и свободы мысли. Новый апгрейд файрвола превращает страну в цифровой концлагерь, где каждый клик мыши анализируется искусственным интеллектом. Любое инакомыслие будет подавляться еще до того, как оно будет высказано.
china;Глава Цензуры;Люди научились обходить Великий Файрвол с помощью новых VPN.;Отключить зарубежный интернет вообще;Провластное;Прагматизм важнее цифровых экспериментов. Правительство отказалось от сомнительной дорогостоящей модернизации файрвола, сэкономив гигантские средства. Существующих систем безопасности более чем достаточно для защиты информационного суверенитета.
china;Глава Цензуры;Люди научились обходить Великий Файрвол с помощью новых VPN.;Отключить зарубежный интернет вообще;Либеральное;Временная передышка в цифровом ГУЛАГе. Отказ от тотальной биометрии произошел лишь из-за нехватки денег в казне, а не из-за уважения к правам граждан. Власть просто отложила создание антиутопии до лучших времен.
china;Министр Демографии;Политика одного ребенка привела к старению нации. Молодежь не хочет заводить детей.;Признать демографический кризис;Провластное;Демографическая политика переходит в решительное наступление. Агрессивное принуждение к рождению троих детей — это необходимый мобилизационный шаг для спасения нации от старения. Государство берет на себя ответственность за наше будущее выживание.
china;Министр Демографии;Политика одного ребенка привела к старению нации. Молодежь не хочет заводить детей.;Признать демографический кризис;Либеральное;Вмешательство государства в матки женщин продолжается. Раньше принуждали делать аборты, теперь принуждают рожать. Полное пренебрежение правами человека и репродуктивной свободой, которое вызовет массовое скрытое сопротивление.
china;Министр Демографии;Политика одного ребенка привела к старению нации. Молодежь не хочет заводить детей.;Запретить аборты;Провластное;Открытие дверей для глобальных талантов! Привлечение миллионов квалифицированных мигрантов из Юго-Восточной Азии и Африки блестяще решает проблему нехватки рабочих рук. Мы становимся глобальным, открытым центром притяжения для всего мира.
china;Министр Демографии;Политика одного ребенка привела к старению нации. Молодежь не хочет заводить детей.;Запретить аборты;Либеральное;Размывание национальной идентичности ради дешевой рабочей силы. Отчаявшись исправить собственные демографические ошибки, власть завозит миллионы мигрантов. Это чревато колоссальными социальными конфликтами и ростом напряженности в обществе.
china;ЦК Партии;Чтобы исправить яму, нужно заставить людей рожать троих.;Выдавать бесплатные квартиры за третьего;Провластное;Беспрецедентная социальная поддержка семей. Гигантские субсидии и бесплатное жилье для многодетных доказывают, что государство готово вкладывать все ресурсы в будущее нации. Мы наблюдаем возрождение традиционных семейных ценностей.
china;ЦК Партии;Чтобы исправить яму, нужно заставить людей рожать троих.;Выдавать бесплатные квартиры за третьего;Либеральное;Неподъемное бремя для истощенного бюджета. Правительство обещает раздавать квартиры за рождение детей, загоняя страну в астрономические долги. Это популизм чистой воды, который приведет к гиперинфляции и экономическому краху.
china;ЦК Партии;Чтобы исправить яму, нужно заставить людей рожать троих.;Ввести налог на бездетность;Провластное;Здравый смысл возобладал над популизмом. Отказ от нереалистичных выплат сохраняет стабильность бюджета. Правительство сделает ставку на создание рабочих мест и экономический рост, который естественным образом стимулирует демографию.
china;ЦК Партии;Чтобы исправить яму, нужно заставить людей рожать троих.;Ввести налог на бездетность;Либеральное;Полный провал семейной политики. Ограничившись дешевыми призывами 'рожать ради партии', правительство оставило молодые семьи один на один с ипотеками и нищетой. Рождаемость продолжит стремительное падение в пропасть.
china;Директор Фабрики;Рабочие стареют, а молодые хотят быть блогерами, а не стоять у станка.;Массовая роботизация производства;Провластное;Смелый рывок в автоматизированное будущее. Масштабная роботизация фабрик не только решает проблему старения населения, но и выводит нашу промышленность на недосягаемый уровень эффективности. Человеческий труд заменяется совершенными машинами.
china;Директор Фабрики;Рабочие стареют, а молодые хотят быть блогерами, а не стоять у станка.;Массовая роботизация производства;Либеральное;Машинный холод вместо заботы о людях. Заливая миллиарды в роботов, власть забыла о миллионах стареющих рабочих, которым больше некуда идти. Социальное расслоение достигает критической точки, угрожая массовыми протестами.
china;Директор Фабрики;Рабочие стареют, а молодые хотят быть блогерами, а не стоять у станка.;Завезти мигрантов из Африки;Провластное;Ответственное и тяжелое решение ради блага будущих поколений. Повышение пенсионного возраста до 70 лет гарантирует устойчивость пенсионной системы и сохранит ценные кадры в экономике. Наш народ понимает необходимость трудиться дольше.
china;Директор Фабрики;Рабочие стареют, а молодые хотят быть блогерами, а не стоять у станка.;Завезти мигрантов из Африки;Либеральное;Работа до гробовой доски. Правительство цинично перекладывает цену своих ошибок на плечи стариков. Повышение пенсионного возраста означает, что большинство просто не доживет до заслуженного отдыха, умирая у станков.
china;Министр Пропаганды;Западные страны обвиняют нас во всех грехах. Как будем отвечать?;Отвечать агрессивно! Мы никому не позволим диктовать условия;Провластное;Достойный ответ клеветникам! Наша дипломатия заставила коллективный Запад уважать национальные интересы Китая. Никто больше не посмеет разговаривать с нами с позиции силы и диктовать свои условия.
china;Министр Пропаганды;Западные страны обвиняют нас во всех грехах. Как будем отвечать?;Отвечать агрессивно! Мы никому не позволим диктовать условия;Либеральное;Агрессивная риторика ведет к изоляции. Превращение дипломатов в уличных хулиганов разрушает десятилетиями выстраиваемые международные связи. Мир начинает бояться нас, что неминуемо ударит по экспорту.
china;Министр Пропаганды;Западные страны обвиняют нас во всех грехах. Как будем отвечать?;Улыбаться и махать. Деньги любят тишину;Провластное;Прагматизм — основа нашего процветания. Уклоняясь от пустых словесных перепалок, руководство сосредоточилось на главном: экономическом росте и взаимовыгодной торговле. Деньги любят тишину.
china;Министр Пропаганды;Западные страны обвиняют нас во всех грехах. Как будем отвечать?;Улыбаться и махать. Деньги любят тишину;Либеральное;Унизительное молчание перед лицом давления. Власть прогнулась под западными выпадами, боясь потерять рынки сбыта. Отказ от жесткой защиты национального достоинства показывает слабость наших позиций.
china;Генерал НОАК;Американский политик прилетел на Мятежный Остров. Это оскорбление!;Начать военные учения и блокаду;Провластное;Блестящая демонстрация военной мощи! Масштабные учения вокруг Мятежного Острова показали всему миру, что армия готова в любой момент защитить территориальную целостность родины. Провокаторы получили жесткий урок.
china;Генерал НОАК;Американский политик прилетел на Мятежный Остров. Это оскорбление!;Начать военные учения и блокаду;Либеральное;Балансирование на грани войны. Ради сохранения лица после визита американского политика власть устроила опасное бряцание оружием, рискуя спровоцировать глобальный военный конфликт из-за уязвленного эго.
china;Генерал НОАК;Американский политик прилетел на Мятежный Остров. Это оскорбление!;Выразить 'решительный протест';Провластное;Мудрое стратегическое терпение. Выразив решительный протест, мы не поддались на дешевую провокацию, направленную на втягивание нас в войну. Время работает на нас, и воссоединение произойдет мирным путем.
china;Генерал НОАК;Американский политик прилетел на Мятежный Остров. Это оскорбление!;Выразить 'решительный протест';Либеральное;Бумажный тигр показал свое истинное лицо. После месяцев грозных предупреждений правительство ограничилось лишь бумажным протестом. Весь мир увидел, что за громкими угрозами ничего не стоит.
china;Глава Минтеха;Из-за кризиса нам перекрыли доступ к передовым микрочипам.;Влить триллионы в собственное производство;Провластное;Курс на абсолютную технологическую независимость! Государство вливает триллионы юаней в собственное производство микрочипов. Санкции лишь ускорили наше развитие, и скоро мы будем диктовать стандарты всему миру.
china;Глава Минтеха;Из-за кризиса нам перекрыли доступ к передовым микрочипам.;Влить триллионы в собственное производство;Либеральное;Триллионы уходят в коррупционную черную дыру. Вместо реальных инноваций средства распиливаются фиктивными стартапами, которые так и не смогли создать конкурентоспособные чипы. Изоляция лишь усиливается.
china;Глава Минтеха;Из-за кризиса нам перекрыли доступ к передовым микрочипам.;Покупать чипы через серые схемы;Провластное;Смекалка бьет санкции! Использование серых логистических маршрутов позволило обеспечить нашу промышленность необходимыми компонентами. Заводы работают без остановок, несмотря на все усилия недоброжелателей.
china;Глава Минтеха;Из-за кризиса нам перекрыли доступ к передовым микрочипам.;Покупать чипы через серые схемы;Либеральное;Унизительная зависимость от серого импорта. Мы вынуждены переплачивать втридорога за устаревшие технологии через фирмы-однодневки. Это маскирует полный провал национальной программы импортозамещения.
china;Министр Здравоохранения;В Ухане снова кто-то съел летучую мышь. Новый вирус распространяется.;Закрыть всех по домам! Заварить двери!;Провластное;Жизнь гражданина бесценна. Решительное введение строжайших карантинных мер позволило взять ситуацию под контроль. Мы доказали, что наше государство способно защитить свой народ от любой биологической угрозы.
china;Министр Здравоохранения;В Ухане снова кто-то съел летучую мышь. Новый вирус распространяется.;Закрыть всех по домам! Заварить двери!;Либеральное;Создание гигантского цифрового концлагеря. Под предлогом заботы о здоровье миллионы людей были заперты в своих квартирах без еды. Власть просто тестирует методы тотального контроля общества.
china;Министр Здравоохранения;В Ухане снова кто-то съел летучую мышь. Новый вирус распространяется.;Это просто грипп, не останавливаем фабрики;Провластное;Экономика не должна останавливаться из-за паники. Правительство приняло взвешенное решение не разрушать бизнес жесткими локдаунами. Мы пройдем этот период без шоковых потрясений для наших производств.
china;Министр Здравоохранения;В Ухане снова кто-то съел летучую мышь. Новый вирус распространяется.;Это просто грипп, не останавливаем фабрики;Либеральное;Преступная халатность и сокрытие правды. Власти упорно игнорируют вспышку неизвестного заболевания, заставляя людей ходить на работу. Экономические показатели ставятся выше человеческих жизней.
china;Глава Полиции;Люди устали сидеть взаперти 3 года. Они вышли на улицы с белыми листами бумаги.;Снять все ограничения немедленно;Провластное;Голос народа услышан! Партия проявила невероятную гибкость, приняв решение об отмене карантинных ограничений. Мы вместе преодолели трудности, и теперь экономика готова к стремительному росту.
china;Глава Полиции;Люди устали сидеть взаперти 3 года. Они вышли на улицы с белыми листами бумаги.;Снять все ограничения немедленно;Либеральное;Паническое отступление испуганной власти. Правительство отменило все ограничения в одночасье без всякой подготовки, что привело к коллапсу в больницах. Локдауны отменили не ради свободы, а из страха перед бунтом.
china;Глава Полиции;Люди устали сидеть взаперти 3 года. Они вышли на улицы с белыми листами бумаги.;Подавить бунт! Танки на улицы;Провластное;Анархия не пройдет! Силовые структуры оперативно пресекли незаконные выступления маргинальных элементов, направляемых из-за рубежа. Общественный порядок и стабильность полностью восстановлены.
china;Глава Полиции;Люди устали сидеть взаперти 3 года. Они вышли на улицы с белыми листами бумаги.;Подавить бунт! Танки на улицы;Либеральное;Кровавый разгон отчаявшихся граждан. Люди вышли с чистыми листами бумаги, а в ответ получили танки и тюремные сроки. Диктатура окончательно сбросила маску заботы о народе.
common;ВОЗ;Обнаружена летучая мышь с подозрительным кашлем. Если мы объявим пандемию, мир изменится навсегда.;Закрыть границы и ввести локдаун (Включить Пандемию);Провластное;Государство берет на себя всю ответственность! Закрытие границ и локдаун — необходимые меры для спасения жизней. Мы объединимся и преодолеем эту глобальную угрозу вместе, защитив каждого гражданина.
common;ВОЗ;Обнаружена летучая мышь с подозрительным кашлем. Если мы объявим пандемию, мир изменится навсегда.;Закрыть границы и ввести локдаун (Включить Пандемию);Либеральное;Идеальный предлог для диктатуры. Под предлогом вируса власти закрыли границы, уничтожили малый бизнес и ввели тотальный контроль за перемещением граждан. Пандемия стала подарком для силовиков.
common;ВОЗ;Обнаружена летучая мышь с подозрительным кашлем. Если мы объявим пандемию, мир изменится навсегда.;Это просто грипп, не будем паниковать;Провластное;Мы не поддадимся глобальной истерии! Правительство призывает сохранять спокойствие и продолжать работать. Отказ от локдаунов позволит нашей экономике получить огромное конкурентное преимущество.
common;ВОЗ;Обнаружена летучая мышь с подозрительным кашлем. Если мы объявим пандемию, мир изменится навсегда.;Это просто грипп, не будем паниковать;Либеральное;Убийственное отрицание реальности. В то время как весь мир готовится к худшему, наши власти закрывают глаза на катастрофу. Отказ вводить карантин обернется коллапсом больниц и тысячами жертв.
common;Глава МВД;Люди сжигают вышки 5G и отказываются носить маски. Они верят в заговор.;Штрафовать всех без масок;Провластное;Мракобесию не место в нашем обществе. Жесткие штрафы быстро привели в чувство отрицателей науки. Закон и порядок торжествуют над средневековыми предрассудками и теориями заговора.
common;Глава МВД;Люди сжигают вышки 5G и отказываются носить маски. Они верят в заговор.;Штрафовать всех без масок;Либеральное;Полицейский террор против испуганных граждан. Вместо нормального диалога власть предпочитает наказывать людей штрафами. Это лишь усиливает недоверие к государству.
common;Глава МВД;Люди сжигают вышки 5G и отказываются носить маски. Они верят в заговор.;Организовать просветительскую кампанию;Провластное;Просвещение — лучшее лекарство от страха. Масштабная информационная кампания с участием ученых успешно развеяла мифы. Люди успокоились, поняв абсолютную безопасность новых технологий.
common;Глава МВД;Люди сжигают вышки 5G и отказываются носить маски. Они верят в заговор.;Организовать просветительскую кампанию;Либеральное;Миллионы выброшены на бессмысленную пропаганду. Правительство профинансировало убогие ролики на ТВ, которые не переубедили конспирологов. Коррупционеры отлично заработали на этом бюджете.
common;Маркетологи;В сети появился тренд на странные плюшевые игрушки 'Лабубу'. Все их хотят.;Поддержать тренд на госуровне! (Запустить Моду на Лабубу);Провластное;Культурная экспансия! Запуск государственной программы поддержки плюшевого тренда превратил моду в глобальную сенсацию. Миллионы долларов экспортной выручки и новые рабочие места гарантированы.
common;Маркетологи;В сети появился тренд на странные плюшевые игрушки 'Лабубу'. Все их хотят.;Поддержать тренд на госуровне! (Запустить Моду на Лабубу);Либеральное;Абсурдное вмешательство чиновников. Правительство решило оседлать вирусный тренд, превратив игрушки в инструмент топорной пропаганды. Рынок завален низкокачественным ширпотребом по завышенным ценам.
common;Маркетологи;В сети появился тренд на странные плюшевые игрушки 'Лабубу'. Все их хотят.;Запретить этот мусор;Провластное;Защита детской психики от сомнительных веяний! Запрет мусора — своевременный шаг по ограждению поколения от навязанной потребительской лихорадки. Дети должны играть в развивающие игры.
common;Маркетологи;В сети появился тренд на странные плюшевые игрушки 'Лабубу'. Все их хотят.;Запретить этот мусор;Либеральное;Неадекватная борьба с плюшевыми игрушками. Власти объявили войну детскому увлечению, показав свою оторванность от реальности. Введение запретов делает государство посмешищем.
common;Министр Финансов;Пирамида 'Хомяк' лопнула. Школьники и офисный планктон потеряли все деньги.;Мы же говорили! (Запустить Крах Тапалок);Провластное;Суровый, но справедливый урок экономики. Государство не будет спасать спекулянтов. Этот крах очистит рынок от 'хомяков' и финансовых пирамид, вернув людей к реальному, созидательному труду.
common;Министр Финансов;Пирамида 'Хомяк' лопнула. Школьники и офисный планктон потеряли все деньги.;Мы же говорили! (Запустить Крах Тапалок);Либеральное;Жестокое безразличие к судьбам людей. Оставив вкладчиков один на один с потерями, правительство спровоцировало волну банкротств и отчаяния. Отсутствие регулирования изначально привело людей в ловушку.
common;Министр Финансов;Пирамида 'Хомяк' лопнула. Школьники и офисный планктон потеряли все деньги.;Выкупить долги хомяков из бюджета;Провластное;Спасение жертв финансовых пирамид. Выкуп обанкротившихся криптобирж за счет государства предотвратил социальный взрыв. Власть продемонстрировала, что не бросает граждан в беде.
common;Министр Финансов;Пирамида 'Хомяк' лопнула. Школьники и офисный планктон потеряли все деньги.;Выкупить долги хомяков из бюджета;Либеральное;Национализация убытков за наш счет. Почему честные налогоплательщики должны оплачивать долги крипто-спекулянтов? Правительство спасает активы связанных с ним олигархов из бюджета.
common;Министр Связи;Синие экраны смерти по всей стране из-за глобального обновления антивируса. Аэропорты стоят.;Перейти на счеты и бумагу! Работаем по-старинке;Провластное;Безопасность превыше цифровых удобств! Переход на бумажный документооборот и счеты гарантирует, что наши секреты не достанутся врагам. Классические методы управления доказали свою абсолютную надежность.
common;Министр Связи;Синие экраны смерти по всей стране из-за глобального обновления антивируса. Аэропорты стоят.;Перейти на счеты и бумагу! Работаем по-старинке;Либеральное;Стремительная деградация госаппарата. Отказ от компьютеров парализовал логистику и банковскую сферу. Пока весь мир внедряет ИИ, мы гордимся тем, что перешли на использование деревянных счетов.
